id,code,latitude,longitude,name,country code
89,XTL,,,Tadoule Lake Airport,CA
90,SDE,,,Vicecomodoro Angel D. La Paz Aragonés Airport,AR
91,YHH,,,Campbell River Seaplane Base,CA
92,PWY,,,Ralph Wenz Field,US
93,FLE,,,Fort Lee Army Airfield,US
94,PVA,,,El Embrujo Airport,CO
95,MPU,,,Mapua(Mabua) Airport,PG
96,SOP,,,Moore County Airport,US
97,PHD,,,Harry Clever Field,US
98,YEV,,,Inuvik Mike Zubko Airport,CA
99,HSI,,,Hastings Municipal Airport,US
100,WPL,,,Powell Lake Seaplane Base,CA
101,BKB,,,Nal Airport,IN
102,SNC,,,General Ulpiano Paez Airport,EC
103,HDS,,,Hoedspruit Air Force Base Airport,ZA
104,ADT,,,Ada Regional Airport,US
105,ABF,,,Abaiang Airport,KI
106,DLD,,,Geilo Airport Dagali,NO
107,BZN,,,Gallatin Field,US
108,OUK,,,Outer Skerries Airport,GB
109,PTG,,,Polokwane International Airport,ZA
110,ATP,,,Aitape Airport,PG
111,YGG,,,Ganges Seaplane Base,CA
112,PGE,,,Yegepa Airport,PG
113,TAY,,,Tartu Airport,EE
114,BZO,,,Bolzano Airport,IT
115,HLG,,,Wheeling Ohio County Airport,US
116,RBR,,,Plácido de Castro Airport,BR
117,BDN,,,Talhar Airport,PK
118,YDT,,,Boundary Bay Airport,CA
119,JAT,,,Jabot Airport,MH
120,BII,,,Enyu Airfield,MH
121,SVX,,,Koltsovo Airport,RU
122,SVD,,,Argyle International Airport,VC
123,VUP,,,Alfonso López Pumarejo Airport,CO
124,GCH,,,Gachsaran Airport,IR
125,CRX,,,Roscoe Turner Airport,US
126,TSX,,,Tanjung Santan Airport,ID
127,KCL,,,Chignik Lagoon Airport,US
128,NPO,,,Nanga Pinoh Airport,ID
129,YTY,,,Yangzhou Taizhou Airport,CN
130,PPZ,,,Puerto Paez Airport,VE
131,ULN,,,Chinggis Khaan International Airport,MN
132,AHH,,,Amery Municipal Airport,US
133,BSA,,,Bosaso Airport,SO
134,SWC,,,Stawell Airport,AU
135,BRI,,,Bari Karol Wojtyła Airport,IT
136,ZFA,,,Faro Airport,CA
137,KDC,,,Kandi Airport,BJ
138,TNJ,,,Raja Haji Fisabilillah International Airport,ID
139,IRM,,,Igrim Airport,RU
140,TMZ,,,Thames Aerodrome,NZ
141,TWA,,,Twin Hills Airport,US
142,CIM,,,Cimitarra Airport,CO
143,CDP,,,Kadapa Airport,IN
144,AMA,,,Rick Husband Amarillo International Airport,US
145,YAG,,,Fort Frances Municipal Airport,CA
146,LLN,,,Kelila Airport,ID
147,0,,,Três Passos Airport,BR
148,0,,,Mombaça Airport,BR
149,ZZO,,,Zonalnoye Airport,RU
150,MSI,,,Masalembo Airport,ID
151,DNO,,,Dianópolis Airport,BR
152,MMD,,,Minami-Daito Airport,JP
153,RDE,,,Merdei Airport,ID
154,BRD,,,Brainerd Lakes Regional Airport,US
155,MRI,,,Merrill Field,US
156,LUN,,,Kenneth Kaunda International Airport Lusaka,ZM
157,RRR,,,Raroia Airport,PF
158,GCT,,,Grand Canyon Bar Ten Airstrip,US
159,SMR,,,Simón Bolívar International Airport,CO
160,BST,,,Bost Airport,AF
161,DTW,,,Detroit Metropolitan Wayne County Airport,US
162,KIF,,,Kingfisher Lake Airport,CA
163,YKU,,,Chisasibi Airport,CA
164,BGR,,,Bangor International Airport,US
165,SXU,,,Soddu Airport,ET
166,MIS,,,Misima Island Airport,PG
167,OBM,,,Morobe Airport,PG
168,ZBR,,,Konarak Airport,IR
169,URI,,,Uribe Airport,CO
170,TSV,,,Townsville Airport,AU
171,PAD,,,Paderborn Lippstadt Airport,DE
172,VGA,,,Vijayawada Airport,IN
173,SXE,,,West Sale Airport,AU
174,CKE,,,Lampson Field,US
175,AJK,,,Arak Airport,IR
176,CPO,,,Desierto de Atacama Airport,CL
177,YAG,,,Fort Frances Municipal Airport,CA
178,NRS,,,Naval Outlying Field Imperial Beach (Ream Field),US
179,TTC,,,Las Breas Airport,CL
180,LBI,,,Albi-Le Séquestre Airport,FR
181,ACK,,,Nantucket Memorial Airport,US
182,ATB,,,Atbara Airport,SD
183,MHG,,,Mannheim-City Airport,DE
184,CTA,,,Catania-Fontanarossa Airport,IT
185,BGN,,,Belaya Gora Airport,RU
186,BTU,,,Bintulu Airport,MY
187,LPP,,,Lappeenranta Airport,FI
188,FUN,,,Funafuti International Airport,TV
189,ROF,,,Montague-Yreka Rohrer Field,US
190,LBK,,,Liboi Airport,KE
191,GTP,,,Grants Pass Airport,US
192,YOC,,,Old Crow Airport,CA
193,MJM,,,Mbuji Mayi Airport,CD
194,WSU,,,Wasu Airport,PG
195,SMF,,,Sacramento International Airport,US
196,LHS,,,Las Heras Airport,AR
197,TAC,,,Daniel Z. Romualdez Airport,PH
198,NTI,,,Stenkol Airport,ID
199,ROB,,,Roberts International Airport,LR
200,RJN,,,Rafsanjan Airport,IR
201,MIY,,,Mittebah Airport,AU
202,HYG,,,Hydaburg Seaplane Base,US
203,SJB,,,San Joaquín Airport,BO
204,RUU,,,Ruti Airport,PG
205,LVR,,,Municipal Bom Futuro Airport,BR
206,PKF,,,Park Falls Municipal Airport,US
207,IRU,,,Iranamadu Seaplane Base,LK
208,0,,,Campo do Meio Airport,BR
209,WUI,,,Murrin Murrin Airport,AU
210,KEE,,,Kelle Airport,CG
211,FDK,,,Frederick Municipal Airport,US
212,DIG,,,Diqing Airport,CN
213,HIA,,,Lianshui Airport,CN
214,QGS,,,Alagoinhas Airport,BR
215,RVY,,,Presidente General Don Oscar D. Gestido International Airport,UY
216,TMC,,,Tambolaka Airport,ID
217,FGU,,,Fangatau Airport,PF
218,CES,,,Cessnock Airport,AU
219,RBF,,,Big Bear City Airport,US
220,MKU,,,Makokou Airport,GA
221,AVG,,,Auvergne Airport,AU
222,GGC,,,Lumbala Airport,AO
223,CPI,,,Cape Orford Airport,PG
224,AML,,,Puerto Armuelles Airport,PA
225,MZU,,,Muzaffarpur Airport,IN
226,UHF,,,RAF Upper Heyford,GB
227,LNV,,,Londolovit Airport,PG
228,LFR,,,La Fria Airport,VE
229,QPG,,,Paya Lebar Air Base,SG
230,XMN,,,Xiamen Gaoqi International Airport,CN
231,YLM,,,Clinton Creek Airport,CA
232,NMA,,,Namangan Airport,UZ
233,VRC,,,Virac Airport,PH
234,LPA,,,Gran Canaria Airport,ES
235,BRI,,,Bari Karol Wojtyła Airport,IT
236,ICO,,,Sicogon Airstrip,PH
237,SZS,,,Ryan's Creek Aerodrome,NZ
238,GTF,,,Great Falls International Airport,US
239,EFD,,,Ellington Airport,US
240,MJD,,,Moenjodaro Airport,PK
241,GGL,,,Gilgal Airport,CO
242,KMH,,,Johan Pienaar Airport,ZA
243,YKD,,,Kincardine Municipal Airport,CA
244,BSX,,,Pathein Airport,MM
245,GBG,,,Galesburg Municipal Airport,US
246,VAI,,,Vanimo Airport,PG
247,PXH,,,Prominent Hill Airport,AU
248,KWG,,,Kryvyi Rih International Airport,UA
249,CNI,,,Changhai Airport,CN
250,HMB,,,Sohag International Airport,EG
251,STT,,,Cyril E. King Airport,VI
252,KID,,,Kristianstad Airport,SE
253,SWT,,,Strezhevoy Airport,RU
254,SUO,,,Sunriver Airport,US
255,ODL,,,Cordillo Downs Airport,AU
256,SXF,,,Berlin-Schönefeld Airport,DE
257,JAG,,,Shahbaz Air Base,PK
258,ICK,,,Nieuw Nickerie Airport,SR
259,TRQ,,,Tarauacá Airport,BR
260,XNA,,,Northwest Arkansas Regional Airport,US
261,MXV,,,Mörön Airport,MN
262,IBL,,,Indigo Bay Lodge Airport,MZ
263,GMV,,,Monument Valley Airport,US
264,YAI,,,Gral. Bernardo O´Higgins Airport,CL
265,SKU,,,Skiros Airport,GR
266,DPO,,,Devonport Airport,AU
267,YCC,,,Cornwall Regional Airport,CA
268,NFG,,,Nefteyugansk Airport,RU
269,MKY,,,Mackay Airport,AU
270,MBT,,,Moises R. Espinosa Airport,PH
271,SDG,,,Sanandaj Airport,IR
272,KHJ,,,Kauhajoki Airport,FI
273,TSL,,,Tamuin Airport,MX
274,GZT,,,Gaziantep International Airport,TR
275,DZI,,,Codazzi Airport,CO
276,XBX,,,Bernay – St Martin Airport,FR
277,ORC,,,Orocue Airport,CO
278,ANY,,,Anthony Municipal Airport,US
279,PZS,,,Maquehue Airport,CL
280,YWM,,,Williams Harbour Airport,CA
281,WLR,,,Loring Seaplane Base,US
282,LEN,,,Leon Airport,ES
283,RMU,,,Región de Murcia International Airport,ES
284,CBY,,,Canobie Airport,AU
285,MBC,,,M'Bigou Airport,GA
286,ABZ,,,Aberdeen Dyce Airport,GB
287,SDS,,,Sado Airport,JP
288,RJA,,,Rajahmundry Airport,IN
289,YPE,,,Peace River Airport,CA
290,SRM,,,Sandringham Airport,AU
291,FAU,,,Fahud Airport,OM
292,KOW,,,Ganzhou Airport,CN
293,BCX,,,Beloretsk Airport,RU
294,0,,,Corixá Airport,BR
295,TGC,,,Tanjung Manis Airport,MY
296,QRO,,,Querétaro Intercontinental Airport,MX
297,CBQ,,,Margaret Ekpo International Airport,NG
298,ORE,,,Orléans-Bricy (BA 123) Air Base,FR
299,NER,,,Chulman Airport,RU
300,TLU,,,Golfo de Morrosquillo Airport,CO
301,HBK,,,Holbrook Municipal Airport,US
302,KIC,,,Mesa Del Rey Airport,US
303,UKB,,,Kobe Airport,JP
304,WRE,,,Whangarei Airport,NZ
305,OPI,,,Oenpelli Airport,AU
306,GDV,,,Dawson Community Airport,US
307,LWL,,,Wells Municipal Airport/Harriet Field,US
308,MKR,,,Meekatharra Airport,AU
309,CSS,,,Cassilândia Airport,BR
310,MAO,,,Eduardo Gomes International Airport,BR
311,AYE,,,Ft Devens Moore Army Air Field,US
312,DYS,,,Dyess Air Force Base,US
313,SQL,,,San Carlos Airport,US
314,QLS,,,Lausanne-Blécherette Airport,CH
315,VCV,,,Southern California Logistics Airport,US
316,MQP,,,Kruger Mpumalanga International Airport,ZA
317,JCR,,,Jacareacanga Airport,BR
318,OTH,,,Southwest Oregon Regional Airport,US
319,MJK,,,Shark Bay Airport,AU
320,SFT,,,Skellefteå Airport,SE
321,MPJ,,,Petit Jean Park Airport,US
322,SKZ,,,Sukkur Airport,PK
323,PPF,,,Tri-City Airport,US
324,JTY,,,Astypalaia Airport,GR
325,ASF,,,Astrakhan Airport,RU
326,RVA,,,Farafangana Airport,MG
327,LET,,,Alfredo Vásquez Cobo International Airport,CO
328,VDY,,,Vijayanagar Aerodrome (JSW),IN
329,TUE,,,Tupile Airport,PA
330,PKH,,,Porto Cheli Airport,GR
331,MWE,,,Merowe New Airport,SD
332,MUC,,,Munich Airport,DE
333,NIC,,,Nicosia International Airport,CY
334,RZA,,,Santa Cruz Airport,AR
335,RKZ,,,Shigatse Air Base,CN
336,CDD,,,Cauquira Airport,HN
337,CPL,,,Chaparral Airport,CO
338,UES,,,Waukesha County Airport,US
339,TYM,,,Staniel Cay Airport,BS
340,AZR,,,Touat Cheikh Sidi Mohamed Belkebir Airport,DZ
341,ERF,,,Erfurt Airport,DE
342,KDT,,,Kamphaeng Saen Airport,TH
343,SPI,,,Abraham Lincoln Capital Airport,US
344,VAA,,,Vaasa Airport,FI
345,SYX,,,Sanya Phoenix International Airport,CN
346,GOO,,,Goondiwindi Airport,AU
347,UTH,,,Udon Thani Airport,TH
348,WPR,,,Capitan Fuentes Martinez Airport Airport,CL
349,MFF,,,Moanda Airport,GA
350,FOS,,,Forrest Airport,AU
351,RGT,,,Japura Airport,ID
352,BFQ,,,Bahia Piña Airport,PA
353,MCJ,,,Jorge Isaac Airport,CO
354,KDI,,,Wolter Monginsidi Airport,ID
355,IMM,,,Immokalee Regional Airport,US
356,GEW,,,Gewoia Airport,PG
357,VPS,,,Destin-Ft Walton Beach Airport,US
358,GLI,,,Glen Innes Airport,AU
359,CQA,,,Canarana Airport,BR
360,DIG,,,Diqing Airport,CN
361,DHM,,,Kangra Airport,IN
362,CHP,,,Circle Hot Springs Airport,US
363,OFJ,,,Ólafsfjörður Airport,IS
364,UPB,,,Playa Baracoa Airport,CU
365,DLS,,,Columbia Gorge Regional the Dalles Municipal Airport,US
366,LSY,,,Lismore Airport,AU
367,EVD,,,Eva Downs Airport,AU
368,CEB,,,Mactan Cebu International Airport,PH
369,SEH,,,Senggeh Airport,ID
370,NIF,,,Camp Nifty Airport,AU
371,HZH,,,Liping Airport,CN
372,UME,,,Umeå Airport,SE
373,LHS,,,Las Heras Airport,AR
374,GOL,,,Gold Beach Municipal Airport,US
375,CYP,,,Calbayog Airport,PH
376,MCD,,,Mackinac Island Airport,US
377,QIQ,,,Rio Claro Airport,BR
378,KZB,,,Zachar Bay Seaplane Base,US
379,IGH,,,Ingham Airport,AU
380,TIJ,,,General Abelardo L. Rodríguez International Airport,MX
381,HZP,,,Fort Mackay / Horizon Airport,CA
382,GHT,,,Ghat Airport,LY
383,RDM,,,Roberts Field,US
384,ACB,,,Antrim County Airport,US
385,YLC,,,Kimmirut Airport,CA
386,BLI,,,Bellingham International Airport,US
387,LCH,,,Lake Charles Regional Airport,US
388,UPB,,,Playa Baracoa Airport,CU
389,OKJ,,,Okayama Airport,JP
390,SRZ,,,El Trompillo Airport,BO
391,NRN,,,Weeze Airport,DE
392,JGO,,,Qeqertarsuaq Heliport,GL
393,OZP,,,Moron Air Base,ES
394,CGG,,,Casiguran Airport,PH
395,DLM,,,Dalaman International Airport,TR
396,RBI,,,Rabi Island Airport,FJ
397,BRE,,,Bremen Airport,DE
398,OLP,,,Olympic Dam Airport,AU
399,AZS,,,Samaná El Catey International Airport,DO
400,MAL,,,"Mangole Airport, Falabisahaya",ID
401,GMP,,,Gimpo International Airport,KR
402,NEG,,,Negril Airport,JM
403,HUC,,,Humacao Airport,PR
404,PSD,,,Port Said Airport,EG
405,NRD,,,Norderney Airport,DE
406,ECA,,,Iosco County Airport,US
407,QIQ,,,Rio Claro Airport,BR
408,ISJ,,,Isla Mujeres Airport,MX
409,YBJ,,,Baie-Johan-Beetz Water Aerodrome,CA
410,KCA,,,Kuqa Airport,CN
411,LHR,,,London Heathrow Airport,GB
412,ZCL,,,General Leobardo C. Ruiz International Airport,MX
413,FFO,,,Wright-Patterson Air Force Base,US
414,FME,,,Tipton Airport,US
415,SYH,,,Syangboche Airport,NP
416,TMC,,,Tambolaka Airport,ID
417,AHY,,,Ambatolhy Airport,MG
418,UZU,,,Curuzu Cuatia Airport,AR
419,KHV,,,Khabarovsk-Novy Airport,RU
420,AEE,,,Adareil Airport,SS
421,0,,,Leme Airport,BR
422,COY,,,Coolawanyah Airport,AU
423,OKB,,,Orchid Beach Airport,AU
424,WNS,,,Shaheed Benazirabad Airport,PK
425,YKT,,,Klemtu Water Aerodrome,CA
426,YJT,,,Stephenville Airport,CA
427,QRC,,,De La Independencia Airport,CL
428,AAF,,,Apalachicola Regional Airport,US
429,TIX,,,Space Coast Regional Airport,US
430,SXE,,,West Sale Airport,AU
431,MGK,,,Mong Tong Airport,MM
432,EOH,,,Enrique Olaya Herrera Airport,CO
433,CMO,,,Obbia Airport,SO
434,RKY,,,Rokeby Airport,AU
435,FRD,,,Friday Harbor Airport,US
436,TUO,,,Taupo Airport,NZ
437,SXW,,,Sauren Airport,PG
438,LNV,,,Londolovit Airport,PG
439,GVI,,,Green River Airport,PG
440,OUH,,,Oudtshoorn Airport,ZA
441,DER,,,Derim Airport,PG
442,SSY,,,Mbanza Congo Airport,AO
443,ZSE,,,Pierrefonds Airport,RE
444,BFJ,,,Bijie Feixiong Airport,CN
445,YES,,,Yasouj Airport,IR
446,YCN,,,Cochrane Airport,CA
447,SUV,,,Nausori International Airport,FJ
448,IFF,,,Iffley Airport,AU
449,LUV,,,Dumatumbun Airport,ID
450,MMC,,,Ciudad Mante National Airport,MX
451,UEN,,,Urengoy Airport,RU
452,JNZ,,,Jinzhou Airport,CN
453,YKO,,,Hakkari Yüksekova Airport,TR
454,YTA,,,Pembroke Airport,CA
455,ALO,,,Waterloo Regional Airport,US
456,SLX,,,Salt Cay Airport,TC
457,PIX,,,Pico Airport,PT
458,MFL,,,Mount Full Stop Airport,AU
459,SXZ,,,Siirt Airport,TR
460,PAP,,,Toussaint Louverture International Airport,HT
461,KGJ,,,Karonga Airport,MW
462,JDP,,,Paris Issy-les-Moulineaux Heliport,FR
463,VOG,,,Volgograd International Airport,RU
464,ZIA,,,Zhukovsky International Airport,RU
465,SBI,,,Sambailo Airport,GN
466,YKT,,,Klemtu Water Aerodrome,CA
467,BYH,,,Arkansas International Airport,US
468,OCF,,,Ocala International Airport - Jim Taylor Field,US
469,GNZ,,,Ghanzi Airport,BW
470,DIE,,,Arrachart Airport,MG
471,GME,,,Gomel Airport,BY
472,VRO,,,Kawama Airport,CU
473,ZAT,,,Zhaotong Airport,CN
474,NCU,,,Nukus Airport,UZ
475,KDY,,,Typliy Klyuch Airport,RU
476,CVQ,,,Carnarvon Airport,AU
477,STH,,,Strathmore Airport,AU
478,KPN,,,Kipnuk Airport,US
479,LAQ,,,La Abraq Airport,LY
480,NRS,,,Naval Outlying Field Imperial Beach (Ream Field),US
481,NVI,,,Navoi Airport,UZ
482,RNN,,,Bornholm Airport,DK
483,ZYI,,,Zunyi Xinzhou Airport,CN
484,IPG,,,Ipiranga Airport,BR
485,IFP,,,Laughlin Bullhead International Airport,US
486,KBW,,,Chignik Bay Seaplane Base,US
487,HLL,,,Hillside Airport,AU
488,AKD,,,Akola Airport,IN
489,SVX,,,Koltsovo Airport,RU
490,BNF,,,Baranof Warm Springs Float and Seaplane Base,US
491,VNC,,,Venice Municipal Airport,US
492,YUY,,,Rouyn Noranda Airport,CA
493,HCW,,,Cheraw Municipal Airport/Lynch Bellinger Field,US
494,ONL,,,The O'Neill Municipal John L Baker Field,US
495,NOU,,,La Tontouta International Airport,NC
496,DZN,,,Zhezkazgan Airport,KZ
497,TEC,,,Telêmaco Borba Airport,BR
498,WVB,,,Walvis Bay Airport,NA
499,SMQ,,,Sampit(Hasan) Airport,ID
500,CGD,,,Changde Airport,CN
501,UMS,,,Ust-Maya Airport,RU
502,BHD,,,George Best Belfast City Airport,GB
503,TLV,,,Ben Gurion International Airport,IL
504,FIE,,,Fair Isle Airport,GB
505,BZI,,,Balıkesir Merkez Airport,TR
506,TIX,,,Space Coast Regional Airport,US
507,CKY,,,Conakry International Airport,GN
508,IGR,,,Cataratas Del Iguazú International Airport,AR
509,VIG,,,Juan Pablo Pérez Alfonso Airport,VE
510,BMR,,,Baltrum Airport,DE
511,YYM,,,Cowley Airport,CA
512,SKZ,,,Sukkur Airport,PK
513,CMB,,,Bandaranaike International Colombo Airport,LK
514,KEW,,,Keewaywin Airport,CA
515,QGS,,,Alagoinhas Airport,BR
516,SII,,,Sidi Ifni Xx Airport,MA
517,DRF,,,Drift River Airport,US
518,URY,,,Gurayat Domestic Airport,SA
519,ODL,,,Cordillo Downs Airport,AU
520,PDL,,,João Paulo II Airport,PT
521,JAK,,,Jacmel Airport,HT
522,CHJ,,,Chipinge Airport,ZW
523,PAM,,,Tyndall Air Force Base,US
524,SQO,,,Storuman Airport,SE
525,BEE,,,Beagle Bay Airport,AU
526,JMS,,,Jamestown Regional Airport,US
527,COB,,,Coolibah Airport,AU
528,IWS,,,West Houston Airport,US
529,PNY,,,Pondicherry Airport,IN
530,MBV,,,Masa Airport,PG
531,TUM,,,Tumut Airport,AU
532,MJB,,,Mejit Atoll Airport,MH
533,YZG,,,Salluit Airport,CA
534,ZTS,,,Tahsis Seaplane Base,CA
535,WNP,,,Naga Airport,PH
536,CCJ,,,Calicut International Airport,IN
537,CMF,,,Chambéry-Savoie Airport,FR
538,JAD,,,Perth Jandakot Airport,AU
539,ZTS,,,Tahsis Seaplane Base,CA
540,XYA,,,Yandina Airport,SB
541,FLD,,,Fond du Lac County Airport,US
542,HUM,,,Houma Terrebonne Airport,US
543,VBV,,,Vanua Balavu Airport,FJ
544,LUY,,,Lushoto Airport,TZ
545,GKK,,,Kooddoo Airport,MV
546,KRA,,,Kerang Airport,AU
547,IIL,,,Ilam Airport,IR
548,RTB,,,Juan Manuel Galvez International Airport,HN
549,BJT,,,Bentota River Waterdrome,LK
550,HRM,,,Hassi R'Mel Airport,DZ
551,BKS,,,Fatmawati Soekarno Airport,ID
552,SYO,,,Shonai Airport,JP
553,NMP,,,New Moon Airport,AU
554,IDR,,,Devi Ahilyabai Holkar Airport,IN
555,LNV,,,Londolovit Airport,PG
556,LTV,,,Lotus Vale Airport,AU
557,SHO,,,Sokcho (Mulchi Airfield) (G-407/K-50) Airport,KR
558,AEI,,,Algeciras Heliport,ES
559,GLV,,,Golovin Airport,US
560,TJA,,,Capitan Oriel Lea Plaza Airport,BO
561,PJG,,,Panjgur Airport,PK
562,QFO,,,Duxford Aerodrome,GB
563,KEX,,,Kanabea Airport,PG
564,VOT,,,Votuporanga Airport,BR
565,AID,,,Anderson Municipal Darlington Field,US
566,KHV,,,Khabarovsk-Novy Airport,RU
567,FMA,,,Formosa Airport,AR
568,TAB,,,Tobago-Crown Point Airport,TT
569,SBP,,,San Luis County Regional Airport,US
570,KEH,,,Kenmore Air Harbor Inc Seaplane Base,US
571,TNP,,,Twentynine Palms Airport,US
572,LMY,,,Lake Murray Airport,PG
573,GBE,,,Sir Seretse Khama International Airport,BW
574,XIC,,,Xichang Qingshan Airport,CN
575,LFK,,,Angelina County Airport,US
576,PYC,,,Playón Chico Airport,PA
577,OLR,,,Salerno Landing Zone Airport,AF
578,CLR,,,Cliff Hatfield Memorial Airport,US
579,SJU,,,Luis Munoz Marin International Airport,PR
580,LCG,,,A Coruña Airport,ES
581,YRR,,,Stuart Island Airstrip,CA
582,TTC,,,Las Breas Airport,CL
583,HUT,,,Hutchinson Municipal Airport,US
584,BKN,,,Balkanabat Airport,TM
585,LMS,,,Louisville Winston County Airport,US
586,MNQ,,,Monto Airport,AU
587,DGL,,,Douglas Municipal Airport,US
588,BBA,,,Balmaceda Airport,CL
589,SXE,,,West Sale Airport,AU
590,MUJ,,,Mui River Airport,ET
591,RVK,,,"Rørvik Airport, Ryum",NO
592,FOU,,,Fougamou Airport,GA
593,SAN,,,San Diego International Airport,US
594,YCH,,,Miramichi Airport,CA
595,JEG,,,Aasiaat Airport,GL
596,UOX,,,University Oxford Airport,US
597,KBX,,,Kambuaya Airport,ID
598,0,,,Santa Paula Airport,BR
599,BZA,,,San Pedro Airport,NI
600,OUN,,,University of Oklahoma Westheimer Airport,US
601,LUE,,,Lučenec Airport,SK
602,BSP,,,Bensbach Airport,PG
603,MYI,,,Murray Island Airport,AU
604,INA,,,Inta Airport,RU
605,MGF,,,Regional de Maringá - Sílvio Nane Junior Airport,BR
606,WPU,,,Guardiamarina Zañartu Airport,CL
607,KSB,,,Kasonombe Airport,PG
608,CSB,,,Caransebeş Airport,RO
609,LMC,,,El Refugio/La Macarena Airport,CO
610,HGA,,,Egal International Airport,SO
611,MXX,,,Mora Airport,SE
612,SSC,,,Shaw Air Force Base,US
613,ZKB,,,Kasaba Bay Airport,ZM
614,DNL,,,Daniel Field,US
615,MGU,,,Manaung Airport,MM
616,YAC,,,Cat Lake Airport,CA
617,EMI,,,Emirau Airport,PG
618,CFO,,,Confresa Airport,BR
619,WTO,,,Wotho Island Airport,MH
620,IRM,,,Igrim Airport,RU
621,JSM,,,Jose De San Martin Airport,AR
622,DHG,,,Dalnegorsk Airport,RU
623,TUP,,,Tupelo Regional Airport,US
624,TLY,,,Plastun Airport,RU
625,BDG,,,Blanding Municipal Airport,US
626,APN,,,Alpena County Regional Airport,US
627,RNO,,,Reno Tahoe International Airport,US
628,NSO,,,Scone Airport,AU
629,FAG,,,Fagurhólsmýri Airport,IS
630,RFS,,,Rosita Airport,NI
631,BPG,,,Barra do Garças Airport,BR
632,BYG,,,Johnson County Airport,US
633,ASN,,,Talladega Municipal Airport,US
